"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","parameter"
"lp__",-2788.0477475,-2787.41,34.6641215434899,34.4333850000002,-2846.267,-2732.2985,1.00852291124206,505.153166843735,841.13354282061,"1"
"beta0",9.0305098375,9.0256,0.764584235426363,0.760937036999999,7.777255,10.31094,1.00503341648237,1334.15714833991,2109.5002260636,"2"
"beta_i[1]",0.19825338323434,0.2070495,0.49748007206169,0.5073138441,-0.6284761,1.0142315,1.00017692400953,2102.11983784372,2120.87284794921,"3"
"beta_i[2]",0.0786909242315,0.0867522,0.496841856865989,0.50707336638,-0.7429499,0.893821,1.0001693044136,2085.449038543,2178.24780571961,"4"
"beta_i[3]",-0.010596453205675,0.0052399,0.497114520483036,0.5097512385,-0.8378541,0.79800585,1.00012121350031,2077.92539117615,2165.39411740192,"5"
"beta_i[4]",0.031110922414625,0.0406024,0.497444635320645,0.50653310694,-0.79675085,0.850426949999999,1.00018081529733,2116.71534846328,2194.28760386988,"6"
"beta_j[1]",0.3575778384535,0.3572755,0.291552840572859,0.2952331032,-0.1124236,0.84543705,1.01146021993235,741.970368404556,1177.43126675395,"7"
"beta_j[2]",0.222509460241325,0.2202315,0.291075341934328,0.29088641652,-0.2516754,0.7135685,1.01151618490428,727.19668627093,1164.26019994055,"8"
"beta_j[3]",0.01862457287775,0.0177436,0.291652284466845,0.28688695476,-0.46068935,0.50003285,1.0115418823716,753.080395015607,1129.29048481371,"9"
"beta_j[4]",0.08977276152895,0.08732245,0.29067840738854,0.29054445483,-0.38063135,0.5715685,1.01190023928519,730.084483304277,1142.97747259889,"10"
"beta_j[5]",-0.163617059658015,-0.1618925,0.290977481090687,0.29022087738,-0.6387239,0.32057315,1.01239409012583,686.870278052527,1209.18240857392,"11"
"beta_j[6]",-0.0353051860697,-0.03480145,0.291288619276232,0.29110547067,-0.5086777,0.4431987,1.01135206240414,748.378131662682,1080.64390633477,"12"
"beta_j[7]",0.18257839938735,0.182675,0.290843709922686,0.28661563896,-0.29336015,0.66065145,1.01174447410301,748.984437136465,1123.575675493,"13"
"beta_j[8]",0.21743835129135,0.2166355,0.290834244770626,0.29170785105,-0.25702895,0.6957228,1.01220024862621,702.163853201448,1126.16002005628,"14"
"beta_j[9]",-0.2054067620014,-0.208119,0.291081017993673,0.28875755118,-0.6763488,0.27785455,1.01168942100689,721.239514131042,1184.03218532145,"15"
"beta_j[10]",-0.18318478767975,-0.1842635,0.291012321537641,0.29321884284,-0.6555207,0.30301025,1.01169837862465,743.977585654918,1187.27966544102,"16"
